Feature,Importância
11_VHVV,0.0027317501356555517
13_VHVV,0.003033558304930934
9_VHVV,0.003216998652792251
8_VH,0.003225568775804147
3_VHVV,0.0033999185982641054
5_VHVV,0.003412573651872531
17_VHVV,0.0034144275669141457
23_VHVV,0.0034269949140065285
15_VHVV,0.0034404157529366016
19_VHVV,0.003525202477680149
4_VH,0.0036468122972163086
21_VHVV,0.003769453916775313
VHVV_stdDev,0.0038700593488830556
6_VH,0.004013988380303914
18_VH,0.00405905079580882
1_VHVV,0.004060781422437607
22_VH,0.004119006643065006
0_VH,0.004124831244419412
6_NDVI,0.004134704091136778
2_VV,0.0042239432850118145
7_VHVV,0.0042618926397675096
12_VH,0.004318315742164116
10_VH,0.0044319288723470044
6_NBR,0.004446493608578105
6_NDWI,0.0044589068610024355
11_NDVI,0.004475725719446983
2_VH,0.004816525171321547
3_NDWI,0.004932639049406054
11_NBR,0.00508499755230861
5_NDWI,0.005319857368916858
7_NDVI,0.005656910289238491
2_NDWI,0.005668504101860112
5_NDVI,0.005720939821744686
20_VH,0.0057225540418786
12_VV,0.0058272231367535446
3_NDVI,0.005908238961817789
12_NDVI,0.005997417832818609
5_NBR,0.006011433897192813
0_VV,0.0061023870803223945
4_NDWI,0.006184799750819068
11_NDWI,0.0061880063050689165
4_NDVI,0.006194083118988217
6_NDBI,0.006258846826347766
8_NDVI,0.006448713121135393
3_NBR,0.006457823688827662
5_NDBI,0.006465394521903869
14_VV,0.006520816768544646
10_NDWI,0.00709272047142006
22_VV,0.007157999374743714
16_VH,0.007178228908908843
7_NBR,0.0072527308711541685
NDMIR_stdDev,0.007282485601471319
16_VV,0.00745703684224889
4_NBR,0.007547222250180469
18_VV,0.007936757759279123
14_VH,0.00802580248181741
8_VV,0.008075255647190985
7_NDWI,0.00812579433246171
12_NDWI,0.008221377908971612
10_VV,0.008441547843341031
VV_stdDev,0.00859589188145173
3_NDMIR,0.008680795947246672
11_NDMIR,0.008689168241667138
2_NDVI,0.008694587981016397
10_NDVI,0.008869199404200606
8_NDWI,0.008958088980521509
20_VV,0.009448472730193171
2_NBR,0.009458364277993596
1_NDWI,0.009471557320934187
NBR_stdDev,0.009508500413863618
1_NDVI,0.009705822525693417
12_NDMIR,0.009815765654950813
NDBI_stdDev,0.009842455526701994
8_NBR,0.010062281431850128
9_NDVI,0.010080234208407238
6_VV,0.010113017876813957
VH_stdDev,0.010172596299159774
4_VV,0.010202825616326091
1_NDMIR,0.010219252512567658
12_NBR,0.010517127565209278
9_NBR,0.010654772417299434
10_NBR,0.010790488854980013
4_NDBI,0.011817159720418207
9_NDWI,0.01211001068107079
8_NDMIR,0.012193566645324928
3_NDBI,0.012208158824664826
11_NDBI,0.013965896329775686
9_NDMIR,0.014341245709291425
2_NDBI,0.014721460662649512
7_NDMIR,0.014736261718955056
10_NDBI,0.016533204022617265
1_NBR,0.017048384313147195
7_NDBI,0.019219875565704557
5_NDMIR,0.021285652769597162
10_NDMIR,0.023938848488117937
6_NDMIR,0.025112714608932385
9_NDBI,0.02632701674762728
2_NDMIR,0.026761747020392256
8_NDBI,0.02688771795715823
NDWI_stdDev,0.02963964217233451
1_NDBI,0.03080547465842719
12_NDBI,0.030945008368809937
4_NDMIR,0.03125398585395196
NDVI_stdDev,0.03306932309235719
